"","source node","dest node","edge weight"
"260","1010","1006","6.44295893149005e-07"
"261","2002","52","1.16201867465679e-06"
"262","1016","1009","3.85026181026342e-07"
"263","1012","10","3.83742026789357e-07"
"264","2013","1006","3.46627641063266e-07"
"265","1001","12","6.91528023117219e-07"
"266","2009","58","3.57113695416707e-07"
"267","1026","50","6.50255592463145e-07"
"268","2009","1013","2.07248534955222e-07"
"269","1012","1010","3.87202220564884e-07"
"270","2010","1009","3.93122574935969e-07"
"271","2020","1020","5.34766426215117e-07"
"272","2033","2029","2.03294936907413e-07"
"273","2031","2010","3.02858013359621e-07"
"274","2009","1008","2.09923363380844e-07"
"275","1012","58","5.62828016826556e-07"
"276","2009","1011","1.78216894727337e-07"
"277","2024","2009","1.8045282563825e-07"
"278","2020","2002","7.92567072113777e-07"
"279","2015","54","3.41772103497954e-07"
"280","2029","2013","1.60089224439119e-07"
"281","2015","10","3.09120939450588e-07"
"282","2024","2020","2.61810554758312e-07"
"283","2029","1025","1.54172310405769e-07"
"284","2016","1007","4.04446837516373e-07"
"285","2011","52","3.4220909031912e-07"
"286","2005","1007","3.54796419331149e-07"
"287","2033","50","9.55838117990633e-07"
"288","2014","17","5.54915447811455e-07"
"289","2024","1013","2.14908518310421e-07"
"290","2030","1011","2.05511119478992e-07"
"291","2019","13","1.28542043176896e-06"
"292","2033","1029","2.62055022913272e-07"
"293","2034","1035","7.90038334277734e-07"
"294","2022","53","3.68700855547705e-07"
"295","1007","49","4.40101306864118e-07"
"296","1002","26","2.16025558132932e-06"
"297","1014","10","6.92798962112605e-07"
"298","1015","11","4.37915624264973e-07"
"299","2013","13","5.17574539111553e-07"
"300","2005","1008","3.79261541762775e-07"
"301","1016","12","1.00886228029478e-06"
"302","2033","1007","5.06383084177529e-07"
"303","2014","53","6.28334276016557e-07"
"304","2021","1025","3.50818168182362e-07"
"305","2022","1024","2.28339567234659e-07"
"306","2017","2007","4.26527766357033e-07"
"307","2030","2016","4.59842069146607e-07"
"308","2014","13","8.42177749002298e-07"
"309","1035","1005","5.7311027271695e-07"
"310","1025","52","4.87274535047555e-07"
"311","2011","49","4.01028910016807e-07"
"312","2003","50","7.40762239709508e-07"
"313","2035","58","1.08819187954798e-06"
"314","2013","1029","2.62231145695536e-07"
"315","1031","1027","2.57888432192723e-07"
"316","2015","50","4.80021994494588e-07"
"317","2035","2014","6.16563635154992e-07"
"318","2021","2020","8.1397200744373e-07"
"319","2031","2021","4.42603102836779e-07"
"320","1013","53","5.76889740901749e-07"
"321","2021","2008","3.92024624106836e-07"
"322","2014","1019","9.47734077523677e-07"
"323","2030","18","6.61099346234725e-07"
"324","2014","1012","6.15987395646394e-07"
"325","58","10","2.18346965044202e-06"
"326","2008","52","5.33700167526638e-07"
"327","2024","1024","2.7843559607467e-07"
"328","2033","2014","1.01287549120964e-06"
"329","2035","1025","4.68598269524208e-07"
"330","2030","1008","3.99173778010421e-07"
"331","2021","18","1.29226092675742e-06"
"332","2016","49","1.53956599226349e-06"
"333","2001","52","2.0578676673247e-06"
"334","2002","1014","1.27676630676508e-06"
"335","2014","1020","8.60824125413858e-07"
"336","2015","1030","3.79213569622489e-07"
"337","1033","51","1.64363013014632e-06"
"338","1021","53","1.19451754990326e-06"
"339","1015","1003","5.54875813946474e-07"
"340","2017","1013","7.20977280136407e-07"
"341","1002","51","2.11173888870006e-06"
"342","2014","1023","1.03574356137839e-06"
"343","2007","1005","6.7452712837771e-07"
"344","2015","2005","6.17644734409875e-07"
"345","2007","12","7.89000578235003e-07"
"346","2028","2021","3.90191999144398e-07"
"347","2034","51","2.55197437659715e-06"
"348","2015","1015","5.06586985303894e-07"
"349","2033","1033","2.46162712875699e-06"
"350","1029","53","5.25839141913147e-07"
"351","2002","26","4.11895914837773e-06"
"352","1014","17","1.45480012103097e-06"
"353","2013","17","9.50042877361037e-07"
"354","1030","51","8.19618377670055e-07"
"355","2006","10","2.59206786104048e-06"
"356","1006","12","2.29116446782965e-06"
