Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
54	17	2.0376	111	59.3191	
1029	1003	2.0495	126	61.6115	
2017	1022	2.0503	222	108.8899	
2021	12	2.0949	383	182.8714	
1030	1029	2.1510	295	138.7595	
2010	12	2.1625	213	98.5708	
1005	13	2.1745	251	115.4805	
2011	54	2.1831	240	110.1887	
1018	50	2.1906	174	79.7330	
2008	52	2.1982	191	87.8604	
2029	1030	2.2216	360	163.1208	
1015	10	2.2381	188	84.6737	
2020	1027	2.2649	284	125.9019	
1009	10	2.2680	156	76.0771	
1007	1005	2.2753	169	74.3568	
1035	1027	2.3148	119	51.4756	
1007	51	2.3360	521	223.2291	
1014	52	2.3543	126	54.1220	
1032	1020	2.3625	113	47.9367	
2035	2009	2.4326	97	41.9357	
2007	2005	2.5123	135	58.2413	
1020	49	2.5239	318	126.0653	
2016	2009	2.5465	45	17.6932	
2014	53	2.5824	125	50.0845	
2010	52	2.6343	284	107.9405	
1032	10	2.6695	200	75.2291	
54	18	2.6770	142	56.1246	
1029	1014	2.6770	325	121.7417	
2009	58	2.7059	148	54.7581	
2030	2019	2.7724	35	12.6314	
2020	2009	2.7724	480	173.5045	
2028	1018	2.7863	288	103.4486	
1006	10	2.7870	331	121.8533	
2011	1013	2.8082	438	159.6423	
1029	1006	2.8232	319	114.5465	
2027	2014	2.9207	93	36.8981	
2027	2001	2.9819	337	113.0681	
1025	1009	3.0580	366	120.6164	
1027	49	3.0691	380	124.1863	
2010	1015	3.0993	331	107.9835	
1033	1029	3.2789	449	137.3149	
2025	54	3.3156	287	86.7181	
2011	12	3.3655	607	180.4958	
2025	1015	3.3777	509	151.8999	
1025	1015	3.4490	357	103.6504	
1033	1024	3.4687	550	158.6453	
2005	53	3.4742	249	72.2200	
2011	53	3.5265	251	71.6218	
1008	13	3.5423	272	76.8334	
2002	1014	3.5602	263	80.8351	
1030	1006	3.6093	17	5.2392	
1025	49	3.6906	535	145.4200	
2013	1007	3.7258	188	53.5979	
2035	2010	3.7688	206	60.4422	
1025	17	3.7787	240	67.5540	
2028	1025	3.8280	438	118.9078	
2024	2009	3.8299	503	133.3319	
2029	1009	3.8447	603	157.9301	
2021	1005	3.8568	553	155.6534	
2025	1009	3.9702	611	154.6181	
17	12	3.9820	305	78.2283	
1010	1009	4.0416	359	90.6623	
1012	13	4.0537	226	57.1216	
1008	18	4.1272	465	112.6816	
1023	1014	4.1712	281	67.3864	
2028	1032	4.2589	483	113.6800	
2002	26	4.2957	152	35.5442	
2026	49	4.3215	88	20.4965	
2019	1020	4.3448	434	100.0117	
2014	49	4.3879	291	68.2798	
2013	2012	4.3883	590	136.3992	
2022	1029	4.4311	561	126.6409	
1017	49	4.4411	436	98.2767	
2022	1025	4.4569	199	78.7305	
2033	52	4.5283	186	41.7588	
2027	2008	4.5513	493	108.5409	
1033	1008	4.5806	619	135.1572	
1008	1006	4.6022	544	118.6725	
1025	1007	4.6309	461	111.7364	
2028	58	4.7369	144	30.9881	
1028	58	4.7485	268	56.4928	
2035	2025	4.7698	348	73.3557	
2006	49	4.8067	297	66.7162	
2020	2003	4.8435	371	77.1239	
2013	2006	4.8856	431	90.3961	
1027	50	4.8877	379	78.8910	
2010	1009	4.8940	526	108.9510	
1029	1023	5.1779	277	53.5669	
2029	2016	5.1789	391	75.7906	
1009	13	5.3018	612	115.7882	
2019	2014	5.3167	248	46.7840	
1014	1011	5.3358	744	139.7965	
2033	49	5.5327	326	58.9934	
1026	50	5.5540	227	44.7718	
2015	53	5.6702	345	64.2915	
2033	2016	5.7672	226	39.2331	
1017	26	5.7895	578	99.9138	
1022	1018	5.8618	497	87.9986	
1007	1003	5.9352	974	164.2558	
2010	18	5.9477	419	73.0859	
51	26	6.1728	195	31.6336	
1020	1014	6.2561	306	49.3118	
1024	26	6.4530	614	95.5685	
1008	10	6.4601	474	74.7493	
2025	2016	6.4809	391	62.5635	
2012	10	6.6592	397	63.6762	
1012	10	6.6993	488	72.9464	
1031	1007	6.7148	782	116.7373	
1035	1011	6.8304	652	96.2213	
2020	2001	6.8652	791	115.4903	
2025	2011	6.8655	850	154.8172	
2007	51	6.8986	312	52.7250	
2016	1007	6.9601	525	77.1287	
2025	1008	7.1028	839	119.6033	
2014	54	7.1718	205	28.7382	
2035	49	7.1814	122	24.8038	
2016	1013	7.1822	483	70.8069	
2008	49	7.1828	600	85.3146	
1023	1022	7.2939	388	53.2304	
2026	11	7.3204	185	35.3574	
2035	2021	7.3371	792	108.1241	
2026	2025	7.4324	823	110.8685	
49	18	7.4699	1102	148.7904	
2023	1024	7.6752	524	68.3782	
1018	1007	7.7002	1392	181.4222	
1025	1016	7.7323	514	68.5038	
1011	17	7.7747	552	73.2661	
1007	13	7.8162	889	129.8253	
2012	1011	7.8387	1170	149.3967	
1033	17	7.9938	314	40.0449	
52	26	8.0395	210	26.1407	
2015	2012	8.1983	642	79.0109	
1015	1007	8.3798	509	63.5430	
1024	1013	8.4283	1420	168.8318	
2007	52	8.9517	1017	114.0268	
2020	2015	9.0647	1288	144.1789	
2028	2010	9.3361	932	100.0347	
1013	1008	9.3681	554	59.1684	
2034	2022	9.3681	24	2.6115	
1032	11	9.4504	405	43.2495	
2003	51	9.5549	409	43.9439	
2025	2009	9.6228	1258	131.3629	
1011	18	10.0360	1090	108.9412	
2028	26	10.1683	568	56.1285	
1031	1018	10.4366	501	49.2534	
2017	50	10.4776	395	38.8386	
2035	2008	10.6239	848	81.5939	
2010	1008	10.6998	703	65.7562	
1026	10	10.9585	188	17.2193	
1029	49	11.2883	1210	107.4589	
1021	18	11.4516	1041	92.5206	
2024	2023	11.5317	602	52.2424	
1022	50	11.5467	1048	91.0110	
2025	1023	11.6735	43	4.3754	
2018	2008	11.8042	1280	109.1635	
1033	1021	11.9129	1582	132.8709	
2023	50	11.9591	234	19.5916	
2028	1003	12.3249	1337	108.5875	
1002	49	12.3610	755	61.1614	
2024	2001	12.6015	1231	98.0504	
1030	1021	12.8673	1281	99.7478	
1013	18	13.0301	1160	89.3545	
1005	12	13.1831	1439	110.1028	
1016	18	13.3792	255	20.1721	
1022	1007	13.4613	2243	166.7534	
2035	2011	13.4817	1424	105.8841	
2005	51	13.6784	1482	109.2128	
1003	13	13.9659	727	52.3992	
2011	2006	14.1692	1637	115.7425	
1007	12	14.3021	1573	113.3699	
2011	52	14.3704	1641	114.7123	
1022	1001	14.4027	1337	93.0835	
2029	1008	14.4567	2115	146.3156	
1024	49	14.5136	1435	98.9757	
1022	1013	14.7221	2505	170.3800	
17	13	15.1280	1329	91.0666	
2010	58	15.1735	748	51.7746	
2029	2010	15.4063	911	61.1030	
1014	1006	15.5950	85	5.8918	
2021	53	15.6883	1032	66.5739	
1009	1003	16.4354	2472	152.3745	
1035	1015	16.9232	1943	115.1580	
1012	18	17.3763	324	18.9325	
50	10	17.6129	898	74.4223	
2002	1028	17.6998	776	52.0686	
2016	54	17.6998	404	22.9942	
2018	2001	17.7812	1978	111.7438	
2025	2024	17.8680	1006	56.4121	
53	51	17.9486	1249	70.7538	
1021	1007	17.9521	1707	110.2817	
2013	49	18.0205	1798	107.3732	
2010	2007	18.6675	2078	112.2158	
1026	1025	18.8102	2284	122.1642	
51	13	18.8843	657	34.8837	
1018	1015	19.4165	2271	117.3401	
1017	50	19.8038	1716	86.7928	
1013	10	19.8548	505	59.7316	
2031	2024	20.3709	1140	63.5407	
1033	49	20.8041	3724	179.1012	
2010	1013	20.9487	1815	88.2494	
1022	11	20.9880	1010	48.5507	
52	13	21.0254	664	33.2732	
1007	26	21.1496	3479	164.5260	
2010	2009	21.1921	2376	112.2554	
2034	51	22.2051	636	28.7146	
2025	1021	22.2118	2746	123.6694	
1031	1009	22.2321	2513	113.3715	
2010	51	23.1337	2286	99.1250	
2029	54	23.4598	2526	107.7777	
2029	2023	23.5242	1147	48.8379	
1017	11	24.3913	1127	46.7336	
2024	1028	24.6239	2706	109.9650	
1018	1009	24.8429	4326	174.6227	
2020	52	25.6403	1592	62.2632	
2020	49	25.6541	1659	65.4896	
1021	13	25.9012	2608	100.9783	
1014	54	26.0211	931	35.8487	
2029	53	26.5766	2317	87.5234	
2012	2006	26.8792	597	22.6565	
2014	1011	26.8932	3977	148.0653	
2021	2012	26.9281	3936	146.3204	
2014	13	27.2312	1389	52.2045	
2030	2013	27.5148	2721	102.4421	
1028	1012	27.5276	1242	45.4154	
1032	1019	27.5610	1601	58.3670	
2014	2002	27.6048	854	31.5517	
2029	2015	27.8313	2369	87.9986	
2007	1010	28.1237	1645	58.8172	
1010	1007	28.2382	1071	44.7932	
2018	50	28.5175	912	32.3453	
2033	51	28.8823	1315	46.3720	
1016	10	29.9460	293	23.9687	
2009	52	30.7008	1456	53.3078	
2025	2001	30.8204	2547	82.8988	
1013	13	31.7571	3435	108.7551	
1014	53	32.1021	1294	40.6246	
1025	1006	32.8716	3176	97.2490	
2028	1019	32.9217	3022	91.9245	
2017	1029	32.9930	3756	114.5337	
2023	1022	33.3208	2217	66.8149	
51	10	34.1929	1231	82.1426	
1034	12	34.4109	585	18.7020	
2029	2017	34.5706	736	25.3712	
1034	1024	34.8166	261	7.9987	
1010	1006	35.3155	1922	56.8644	
49	12	35.5860	847	24.0815	
1019	50	36.0513	2392	66.5687	
1016	1005	36.2583	2560	70.9917	
2010	11	36.3242	1823	52.6403	
2028	2019	37.6293	2218	59.4121	
2028	1014	37.9920	3678	97.5001	
2028	10	38.1580	3612	95.1564	
1005	17	38.1587	2662	69.8667	
2010	1007	38.2579	4695	123.9465	
58	54	38.2627	977	25.6865	
2025	52	39.6423	3098	78.4531	
2016	49	39.9819	978	28.8822	
1029	11	39.9829	2042	51.1875	
2012	13	40.3746	2343	58.3975	
2030	54	41.2057	548	13.4266	
2027	2009	41.6004	5916	144.3557	
2023	1029	41.7243	2844	68.2769	
17	11	42.5043	3534	83.6139	
2015	2003	42.6031	5009	118.2676	
1015	12	43.0403	4890	113.7821	
1024	1007	43.2219	6770	156.7859	
2026	50	43.5441	84	3.0737	
2015	2013	43.5897	4973	115.6169	
1022	1009	45.0529	6476	147.4817	
1012	49	46.7643	1756	38.2926	
1010	1008	47.1603	2492	52.9812	
1024	50	47.2022	3893	82.7660	
49	11	47.2868	3974	86.2982	
1030	1008	47.8900	4220	97.8662	
2010	1029	48.7519	4031	83.1274	
2009	2006	48.7811	130	10.5689	
2025	1010	50.4786	1044	50.1206	
1029	1024	51.1965	2332	47.6260	
2030	2024	55.0685	617	14.8909	
2011	1029	56.1927	1426	43.3144	
2021	2016	56.4708	2872	51.2268	
2025	1005	56.9300	3635	112.7452	
1007	10	58.5614	3732	67.2573	
2028	12	58.6308	4897	85.2067	
2014	17	58.7586	3189	56.3995	
1021	10	59.3833	5245	88.4717	
